Pred_Long_mm,Pred_Short_mm,Error_Long_mm,Error_Short_mm
85.60000000000001,42.857088275562894,1.4210854715202004e-14,11.122911724437103
85.6,34.44014971976873,0.0,19.539850280231263
85.6,27.777483443708608,0.0,26.20251655629139
85.6,25.518490566037734,0.0,28.461509433962263
85.6,52.3111111111111,0.0,1.668888888888894
85.6,43.72830518236615,0.0,10.251694817633847
85.6,40.14573643410852,0.0,13.834263565891476
85.6,35.17381732727471,0.0,18.806182672725285
85.6,22.92857223061747,0.0,31.051427769382528
85.6,10.281770608938244,0.0,43.69822939106175
